#Parameters = {C_OD=21; C_ext=900; R=7.6; penetration=55}
#"Z / mm"	"e_Z (Z)"
#------------------
-165.00000000000	-1924.6986083984
-164.90000000000	-1925.5075683594
-164.80000000000	-1926.4940185547
-164.70000000000	-1927.6572265625
-164.60000000000	-1928.9973144531
-164.50000000000	-1930.5146484375
-164.40000000000	-1932.2089843750
-164.30000000000	-1934.0802001953
-164.20000000000	-1936.1286621094
-164.10000000000	-1938.3537597656
-164.00000000000	-1940.7562255859
-163.90000000000	-1943.3359375000
-163.80000000000	-1946.0921630859
-163.70000000000	-1949.0257568359
-163.60000000000	-1952.1359863281
-163.50000000000	-1955.4237060547
-163.40000000000	-1958.8881835938
-163.30000000000	-1962.5294189453
-163.20000000000	-1966.3483886719
-163.10000000000	-1970.3438720703
-163.00000000000	-1974.5166015625
-162.90000000000	-1978.8664550781
-162.80000000000	-1983.3927001953
-162.70000000000	-1988.0966796875
-162.60000000000	-1992.9768066406
-162.50000000000	-1998.0350341797
-162.40000000000	-2003.2697753906
-162.30000000000	-2008.6815185547
-162.20000000000	-2014.2703857422
-162.10000000000	-2020.0358886719
-162.00000000000	-2028.1153564453
-161.90000000000	-2037.5810546875
-161.80000000000	-2047.2006835938
-161.70000000000	-2056.9782714844
-161.60000000000	-2066.9101562500
-161.50000000000	-2076.9992675781
-161.40000000000	-2087.2448730469
-161.30000000000	-2097.6445312500
-161.20000000000	-2108.2016601563
-161.10000000000	-2118.9135742188
-161.00000000000	-2129.7827148438
-160.90000000000	-2140.8078613281
-160.80000000000	-2151.9873046875
-160.70000000000	-2163.3244628906
-160.60000000000	-2174.8159179688
-160.50000000000	-2186.4648437500
-160.40000000000	-2198.2697753906
-160.30000000000	-2210.2290039063
-160.20000000000	-2222.3459472656
-160.10000000000	-2234.6166992188
-160.00000000000	-2247.0456542969
-159.90000000000	-2262.4870605469
-159.80000000000	-2278.0632324219
-159.70000000000	-2293.7792968750
-159.60000000000	-2309.6296386719
-159.50000000000	-2325.6196289063
-159.40000000000	-2341.7470703125
-159.30000000000	-2358.0087890625
-159.20000000000	-2374.4101562500
-159.10000000000	-2390.9462890625
-159.00000000000	-2407.6218261719
-158.90000000000	-2424.4345703125
-158.80000000000	-2441.3818359375
-158.70000000000	-2458.4689941406
-158.60000000000	-2475.6906738281
-158.50000000000	-2493.0517578125
-158.40000000000	-2510.5502929688
-158.30000000000	-2528.1831054688
-158.20000000000	-2545.9555664063
-158.10000000000	-2563.8627929688
-158.00000000000	-2581.9099121094
-157.90000000000	-2602.4470214844
-157.80000000000	-2623.3491210938
-157.70000000000	-2644.6220703125
-157.60000000000	-2666.2592773438
-157.50000000000	-2688.2675781250
-157.40000000000	-2710.6437988281
-157.30000000000	-2733.3847656250
-157.20000000000	-2756.4963378906
-157.10000000000	-2779.9724121094
-157.00000000000	-2803.8198242188
-156.90000000000	-2828.0349121094
-156.80000000000	-2852.6142578125
-156.70000000000	-2877.5649414063
-156.60000000000	-2902.8793945313
-156.50000000000	-2928.5659179688
-156.40000000000	-2954.6201171875
-156.30000000000	-2981.0380859375
-156.20000000000	-3007.8276367188
-156.10000000000	-3034.9812011719
-156.00000000000	-3062.5063476563
-155.90000000000	-3089.5048828125
-155.80000000000	-3116.9633789063
-155.70000000000	-3144.8886718750
-155.60000000000	-3173.2744140625
-155.50000000000	-3202.1276855469
-155.40000000000	-3231.4443359375
-155.30000000000	-3261.2204589844
-155.20000000000	-3291.4645996094
-155.10000000000	-3322.1674804688
-155.00000000000	-3353.3391113281
-154.90000000000	-3384.9741210938
-154.80000000000	-3417.0683593750
-154.70000000000	-3449.6303710938
-154.60000000000	-3482.6513671875
-154.50000000000	-3516.1411132813
-154.40000000000	-3550.0942382813
-154.30000000000	-3584.5061035156
-154.20000000000	-3619.3869628906
-154.10000000000	-3654.7253417969
-154.00000000000	-3690.5334472656
-153.90000000000	-3727.0922851563
-153.80000000000	-3764.1396484375
-153.70000000000	-3801.6879882813
-153.60000000000	-3839.7241210938
-153.50000000000	-3878.2612304688
-153.40000000000	-3917.2927246094
-153.30000000000	-3956.8125000000
-153.20000000000	-3996.8330078125
-153.10000000000	-4037.3417968750
-153.00000000000	-4078.3515625000
-152.90000000000	-4119.8554687500
-152.80000000000	-4161.8476562500
-152.70000000000	-4204.3413085938
-152.60000000000	-4247.3227539063
-152.50000000000	-4290.8046875000
-152.40000000000	-4334.7812500000
-152.30000000000	-4379.2460937500
-152.20000000000	-4424.2119140625
-152.10000000000	-4469.6655273438
-152.00000000000	-4515.6206054688
-151.90000000000	-4562.9956054688
-151.80000000000	-4610.9672851563
-151.70000000000	-4659.5498046875
-151.60000000000	-4708.7304687500
-151.50000000000	-4758.5209960938
-151.40000000000	-4808.9165039063
-151.30000000000	-4859.9077148438
-151.20000000000	-4911.5107421875
-151.10000000000	-4963.7099609375
-151.00000000000	-5016.5209960938
-150.90000000000	-5069.9360351563
-150.80000000000	-5123.9467773438
-150.70000000000	-5178.5698242188
-150.60000000000	-5233.7880859375
-150.50000000000	-5289.6191406250
-150.40000000000	-5346.0546875000
-150.30000000000	-5403.0844726563
-150.20000000000	-5460.7275390625
-150.10000000000	-5518.9653320313
-150.00000000000	-5577.8168945313
-149.90000000000	-5638.2783203125
-149.80000000000	-5699.4912109375
-149.70000000000	-5761.4731445313
-149.60000000000	-5824.2060546875
-149.50000000000	-5887.7094726563
-149.40000000000	-5951.9726562500
-149.30000000000	-6016.9863281250
-149.20000000000	-6082.7705078125
-149.10000000000	-6149.3051757813
-149.00000000000	-6216.6098632813
-148.90000000000	-6284.6743164063
-148.80000000000	-6353.4902343750
-148.70000000000	-6423.0761718750
-148.60000000000	-6493.4116210938
-148.50000000000	-6564.5185546875
-148.40000000000	-6636.3857421875
-148.30000000000	-6709.0024414063
-148.20000000000	-6782.3901367188
-148.10000000000	-6856.5268554688
-148.00000000000	-6931.4355468750
-147.90000000000	-7007.6767578125
-147.80000000000	-7084.9902343750
-147.70000000000	-7163.4008789063
-147.60000000000	-7242.8842773438
-147.50000000000	-7323.4643554688
-147.40000000000	-7405.1289062500
-147.30000000000	-7487.8657226563
-147.20000000000	-7571.7011718750
-147.10000000000	-7656.6074218750
-147.00000000000	-7742.6113281250
-146.90000000000	-7829.7001953125
