#
#"Z / mm"	"e_Z (Z)"
#------------------
-120.00000000000	821.68310546875
-119.90000000000	832.05657958984
-119.80000000000	842.57373046875
-119.70000000000	853.23937988281
-119.60000000000	864.05175781250
-119.50000000000	875.01196289063
-119.40000000000	886.11981201172
-119.30000000000	897.37548828125
-119.20000000000	908.77954101563
-119.10000000000	920.33044433594
-119.00000000000	932.02911376953
-118.90000000000	943.87542724609
-118.80000000000	955.86944580078
-118.70000000000	968.01208496094
-118.60000000000	980.32025146484
-118.50000000000	992.78814697266
-118.40000000000	1005.4054565430
-118.30000000000	1018.1721191406
-118.20000000000	1031.0891113281
-118.10000000000	1044.1544189453
-118.00000000000	1057.3680419922
-117.90000000000	1070.7448730469
-117.80000000000	1084.3111572266
-117.70000000000	1098.0675048828
-117.60000000000	1112.0118408203
-117.50000000000	1126.1453857422
-117.40000000000	1140.4681396484
-117.30000000000	1154.9696044922
-117.20000000000	1169.6484375000
-117.10000000000	1184.5181884766
-117.00000000000	1199.5803222656
-116.90000000000	1214.8344726563
-116.80000000000	1230.2806396484
-116.70000000000	1245.9205322266
-116.60000000000	1261.7512207031
-116.50000000000	1277.7742919922
-116.40000000000	1293.9891357422
-116.30000000000	1310.3964843750
-116.20000000000	1326.9973144531
-116.10000000000	1343.7891845703
-116.00000000000	1360.7756347656
-115.90000000000	1378.0159912109
-115.80000000000	1395.4932861328
-115.70000000000	1413.2091064453
-115.60000000000	1431.1608886719
-115.50000000000	1449.3496093750
-115.40000000000	1467.7758789063
-115.30000000000	1486.4389648438
-115.20000000000	1505.3409423828
-115.10000000000	1524.4783935547
-115.00000000000	1543.8503417969
-114.90000000000	1563.4686279297
-114.80000000000	1583.3405761719
-114.70000000000	1603.4686279297
-114.60000000000	1623.8485107422
-114.50000000000	1644.4832763672
-114.40000000000	1665.3723144531
-114.30000000000	1686.5148925781
-114.20000000000	1707.9139404297
-114.10000000000	1729.5650634766
-114.00000000000	1751.4703369141
-113.90000000000	1773.6511230469
-113.80000000000	1796.1370849609
-113.70000000000	1818.9304199219
-113.60000000000	1842.0275878906
-113.50000000000	1865.4306640625
-113.40000000000	1889.1392822266
-113.30000000000	1913.1534423828
-113.20000000000	1937.4753417969
-113.10000000000	1962.1007080078
-113.00000000000	1987.0322265625
-112.90000000000	2012.2916259766
-112.80000000000	2037.8848876953
-112.70000000000	2063.8063964844
-112.60000000000	2090.0517578125
-112.50000000000	2116.6228027344
-112.40000000000	2143.5197753906
-112.30000000000	2170.7431640625
-112.20000000000	2198.2941894531
-112.10000000000	2226.1691894531
-112.00000000000	2254.3652343750
-111.90000000000	2282.8659667969
-111.80000000000	2311.7687988281
-111.70000000000	2341.0759277344
-111.60000000000	2370.7834472656
-111.50000000000	2400.8935546875
-111.40000000000	2431.4055175781
-111.30000000000	2462.3193359375
-111.20000000000	2493.6376953125
-111.10000000000	2525.3562011719
-111.00000000000	2557.4775390625
-110.90000000000	2590.0007324219
-110.80000000000	2622.9260253906
-110.70000000000	2656.2561035156
-110.60000000000	2690.0805664063
-110.50000000000	2724.3164062500
-110.40000000000	2758.9631347656
-110.30000000000	2794.0224609375
-110.20000000000	2829.4938964844
-110.10000000000	2865.3747558594
-110.00000000000	2901.6662597656
-109.90000000000	2938.3132324219
-109.80000000000	2975.4853515625
-109.70000000000	3013.1928710938
-109.60000000000	3051.4287109375
-109.50000000000	3090.1970214844
-109.40000000000	3129.4960937500
-109.30000000000	3169.3278808594
-109.20000000000	3209.6940917969
-109.10000000000	3250.5895996094
-109.00000000000	3292.0161132813
-108.90000000000	3333.9609375000
-108.80000000000	3376.4221191406
-108.70000000000	3419.4016113281
-108.60000000000	3462.8930664063
-108.50000000000	3506.8994140625
-108.40000000000	3551.4216308594
-108.30000000000	3596.4597167969
-108.20000000000	3642.0163574219
-108.10000000000	3688.0842285156
-108.00000000000	3734.6796875000
-107.90000000000	3781.9758300781
-107.80000000000	3829.9362792969
-107.70000000000	3878.5637207031
-107.60000000000	3927.8491210938
-107.50000000000	3977.7998046875
-107.40000000000	4028.4130859375
-107.30000000000	4079.6906738281
-107.20000000000	4131.5595703125
-107.10000000000	4184.1015625000
-107.00000000000	4237.3208007813
-106.90000000000	4291.2192382813
-106.80000000000	4345.7949218750
-106.70000000000	4401.0537109375
-106.60000000000	4456.9868164063
-106.50000000000	4513.5976562500
-106.40000000000	4570.8867187500
-106.30000000000	4628.8540039063
-106.20000000000	4687.5048828125
-106.10000000000	4746.8286132813
-106.00000000000	4806.8442382813
-105.90000000000	4867.7675781250
-105.80000000000	4929.5263671875
-105.70000000000	4992.1254882813
-105.60000000000	5055.5537109375
-105.50000000000	5119.8173828125
-105.40000000000	5184.9160156250
-105.30000000000	5250.8510742188
-105.20000000000	5317.6235351563
-105.10000000000	5385.2285156250
-105.00000000000	5453.6762695313
-104.90000000000	5523.0190429688
-104.80000000000	5593.2592773438
-104.70000000000	5664.4008789063
-104.60000000000	5736.4360351563
-104.50000000000	5809.3657226563
-104.40000000000	5883.1938476563
-104.30000000000	5957.9184570313
-104.20000000000	6033.5444335938
-104.10000000000	6110.0629882813
-104.00000000000	6187.4780273438
-103.90000000000	6265.8847656250
-103.80000000000	6345.3637695313
-103.70000000000	6425.9238281250
-103.60000000000	6507.5517578125
-103.50000000000	6590.2524414063
-103.40000000000	6674.0268554688
-103.30000000000	6758.8754882813
-103.20000000000	6844.8037109375
-103.10000000000	6931.8007812500
-103.00000000000	7019.8701171875
-102.90000000000	7109.0927734375
-102.80000000000	7199.5014648438
-102.70000000000	7291.0761718750
-102.60000000000	7383.7973632813
-102.50000000000	7477.6748046875
-102.40000000000	7572.7094726563
-102.30000000000	7668.9013671875
-102.20000000000	7766.2558593750
-102.10000000000	7864.7597656250
-102.00000000000	7964.4179687500
-101.90000000000	8065.0952148438
-101.80000000000	8167.1826171875
-101.70000000000	8270.7021484375
-101.60000000000	8375.6337890625
-101.50000000000	8481.9902343750
-101.40000000000	8589.7675781250
-101.30000000000	8698.9667968750
-101.20000000000	8809.5976562500
-101.10000000000	8921.6406250000
-101.00000000000	9035.1074218750
-100.90000000000	9149.9970703125
-100.80000000000	9266.3095703125
-100.70000000000	9384.0712890625
-100.60000000000	9503.5673828125
-100.50000000000	9624.5185546875
-100.40000000000	9746.9287109375
-100.30000000000	9870.7939453125
-100.20000000000	9996.1269531250
-100.10000000000	10122.905273438
-100.00000000000	10251.139648438
-99.900000000000	10380.651367188
-99.800000000000	10511.914062500
-99.700000000000	10645.066406250
-99.600000000000	10780.083984375
-99.500000000000	10916.984375000
-99.400000000000	11055.761718750
-99.300000000000	11196.416992188
-99.200000000000	11338.966796875
-99.100000000000	11483.377929688
-99.000000000000	11629.683593750
-98.900000000000	11777.911132813
-98.800000000000	11927.970703125
-98.700000000000	12079.874023438
-98.600000000000	12233.597656250
-98.500000000000	12389.156250000
-98.400000000000	12546.545898438
-98.300000000000	12705.765625000
-98.200000000000	12866.833984375
-98.100000000000	13029.720703125
-98.000000000000	13194.441406250
-97.900000000000	13360.972656250
-97.800000000000	13529.916015625
-97.700000000000	13701.284179688
-97.600000000000	13875.049804688
-97.500000000000	14051.227539063
-97.400000000000	14229.817382813
-97.300000000000	14410.814453125
-97.200000000000	14594.241210938
-97.100000000000	14780.065429688
-97.000000000000	14968.302734375
-96.900000000000	15158.964843750
-96.800000000000	15351.995117188
-96.700000000000	15547.393554688
-96.600000000000	15745.131835938
-96.500000000000	15945.229492188
-96.400000000000	16147.682617188
-96.300000000000	16352.491210938
-96.200000000000	16559.671875000
-96.100000000000	16769.191406250
-96.000000000000	16981.156250000
-95.900000000000	17196.166015625
-95.800000000000	17414.199218750
-95.700000000000	17635.281250000
-95.600000000000	17859.371093750
-95.500000000000	18086.486328125
-95.400000000000	18316.626953125
-95.300000000000	18549.794921875
-95.200000000000	18785.621093750
-95.100000000000	19024.486328125
-95.000000000000	19266.437500000
-94.900000000000	19511.472656250
-94.800000000000	19759.597656250
-94.700000000000	20010.839843750
-94.600000000000	20265.142578125
-94.500000000000	20522.537109375
-94.400000000000	20783.019531250
-94.300000000000	21046.591796875
-94.200000000000	21313.269531250
-94.100000000000	21583.019531250
-94.000000000000	21855.947265625
-93.900000000000	22132.691406250
-93.800000000000	22413.236328125
-93.700000000000	22697.603515625
-93.600000000000	22985.744140625
-93.500000000000	23277.697265625
-93.400000000000	23573.441406250
-93.300000000000	23872.990234375
-93.200000000000	24176.365234375
-93.100000000000	24483.515625000
-93.000000000000	24794.527343750
-92.900000000000	25109.589843750
-92.800000000000	25428.726562500
-92.700000000000	25751.947265625
-92.600000000000	26079.218750000
-92.500000000000	26410.542968750
-92.400000000000	26745.943359375
-92.300000000000	27085.406250000
-92.200000000000	27428.960937500
-92.100000000000	27776.554687500
-92.000000000000	28128.212890625
-91.900000000000	28484.371093750
-91.800000000000	28845.419921875
-91.700000000000	29211.384765625
-91.600000000000	29582.210937500
-91.500000000000	29957.925781250
-91.400000000000	30338.523437500
-91.300000000000	30724.007812500
-91.200000000000	31114.416015625
-91.100000000000	31509.679687500
-91.000000000000	31909.824218750
-90.900000000000	32315.218750000
-90.800000000000	32725.953125000
-90.700000000000	33141.949218750
-90.600000000000	33563.140625000
-90.500000000000	33989.558593750
-90.400000000000	34421.199218750
-90.300000000000	34858.062500000
-90.200000000000	35300.187500000
-90.100000000000	35747.500000000
-90.000000000000	36200.007812500
-89.900000000000	36657.359375000
-89.800000000000	37121.117187500
-89.700000000000	37591.359375000
-89.600000000000	38067.976562500
-89.500000000000	38551.023437500
-89.400000000000	39040.492187500
-89.300000000000	39536.382812500
-89.200000000000	40038.746093750
-89.100000000000	40547.488281250
-89.000000000000	41062.652343750
-88.900000000000	41584.250000000
-88.800000000000	42112.265625000
-88.700000000000	42646.789062500
-88.600000000000	43189.421875000
-88.500000000000	43738.609375000
-88.400000000000	44294.367187500
-88.300000000000	44856.679687500
-88.200000000000	45425.601562500
-88.100000000000	46001.042968750
-88.000000000000	46583.058593750
-87.900000000000	47170.886718750
-87.800000000000	47766.824218750
-87.700000000000	48371.304687500
-87.600000000000	48984.218750000
-87.500000000000	49605.625000000
-87.400000000000	50235.519531250
-87.300000000000	50873.910156250
-87.200000000000	51520.820312500
-87.100000000000	52176.179687500
-87.000000000000	52840.089843750
-86.900000000000	53512.445312500
-86.800000000000	54193.078125000
-86.700000000000	54882.027343750
-86.600000000000	55579.175781250
-86.500000000000	56284.585937500
-86.400000000000	56998.238281250
-86.300000000000	57720.167968750
-86.200000000000	58450.417968750
-86.100000000000	59188.871093750
-86.000000000000	59935.562500000
-85.900000000000	60691.671875000
-85.800000000000	61458.562500000
-85.700000000000	62236.324218750
-85.600000000000	63024.792968750
-85.500000000000	63824.074218750
-85.400000000000	64634.160156250
-85.300000000000	65455.015625000
-85.200000000000	66286.750000000
-85.100000000000	67129.218750000
-85.000000000000	67982.453125000
-84.900000000000	68847.007812500
-84.800000000000	69722.242187500
-84.700000000000	70608.148437500
-84.600000000000	71504.609375000
-84.500000000000	72411.703125000
-84.400000000000	73329.406250000
-84.300000000000	74257.726562500
-84.200000000000	75196.742187500
-84.100000000000	76146.304687500
-84.000000000000	77106.484375000
-83.900000000000	78078.492187500
-83.800000000000	79064.382812500
-83.700000000000	80064.234375000
-83.600000000000	81077.882812500
-83.500000000000	82105.398437500
-83.400000000000	83146.812500000
-83.300000000000	84202.093750000
-83.200000000000	85271.351562500
-83.100000000000	86354.398437500
-83.000000000000	87451.367187500
-82.900000000000	88562.265625000
-82.800000000000	89686.812500000
-82.700000000000	90825.039062500
-82.600000000000	91976.820312500
-82.500000000000	93142.203125000
-82.400000000000	94321.218750000
-82.300000000000	95513.843750000
-82.200000000000	96720.210937500
-82.100000000000	97940.101562500
-82.000000000000	99173.570312500
-81.900000000000	100421.82031250
-81.800000000000	101687.96093750
-81.700000000000	102972.07812500
-81.600000000000	104274.00000000
-81.500000000000	105593.81250000
-81.400000000000	106931.51562500
-81.300000000000	108287.13281250
-81.200000000000	109660.73437500
-81.100000000000	111052.13281250
-81.000000000000	112461.42187500
-80.900000000000	113888.80468750
-80.800000000000	115333.88281250
-80.700000000000	116796.46875000
-80.600000000000	118276.33593750
-80.500000000000	119773.55468750
-80.400000000000	121288.16406250
-80.300000000000	122820.15625000
-80.200000000000	124369.65625000
-80.100000000000	125936.41406250
-80.000000000000	127520.96093750
-79.900000000000	129127.90625000
-79.800000000000	130757.25781250
-79.700000000000	132409.09375000
-79.600000000000	134083.25000000
-79.500000000000	135779.75000000
-79.400000000000	137498.70312500
-79.300000000000	139239.51562500
-79.200000000000	140999.78125000
-79.100000000000	142782.76562500
-79.000000000000	144588.62500000
-78.900000000000	146417.35937500
-78.800000000000	148268.96875000
-78.700000000000	150143.59375000
-78.600000000000	152040.95312500
-78.500000000000	153961.15625000
-78.400000000000	155904.25000000
-78.300000000000	157870.21875000
-78.200000000000	159859.21875000
-78.100000000000	161870.90625000
-78.000000000000	163905.68750000
-77.900000000000	165968.75000000
-77.800000000000	168059.81250000
-77.700000000000	170178.98437500
-77.600000000000	172326.00000000
-77.500000000000	174500.98437500
-77.400000000000	176703.95312500
-77.300000000000	178934.87500000
-77.200000000000	181194.00000000
-77.100000000000	183480.87500000
-77.000000000000	185795.78125000
-76.900000000000	188139.71875000
-76.800000000000	190513.29687500
-76.700000000000	192916.84375000
-76.600000000000	195349.95312500
-76.500000000000	197812.75000000
-76.400000000000	200305.26562500
-76.300000000000	202827.45312500
-76.200000000000	205379.60937500
-76.100000000000	207961.29687500
-76.000000000000	210572.26562500
-75.900000000000	213209.12500000
-75.800000000000	215882.31250000
-75.700000000000	218592.07812500
-75.600000000000	221337.92187500
-75.500000000000	224120.20312500
-75.400000000000	226938.75000000
-75.300000000000	229793.65625000
-75.200000000000	232685.10937500
-75.100000000000	235612.68750000
-75.000000000000	238576.60937500
-74.900000000000	241576.87500000
-74.800000000000	244613.43750000
-74.700000000000	247686.60937500
-74.600000000000	250803.45312500
-74.500000000000	253958.70312500
-74.400000000000	257151.12500000
-74.300000000000	260380.67187500
-74.200000000000	263647.59375000
-74.100000000000	266951.37500000
-74.000000000000	270292.31250000
-73.900000000000	273665.81250000
-73.800000000000	277084.71875000
-73.700000000000	280550.75000000
-73.600000000000	284063.43750000
-73.500000000000	287622.90625000
