#Parameters = {FPC_IR1=0.51181102362205; FPC_IR2=0.82086614173228; FPC_IR3=0.67905970079231; FPC_L1=0.24803149606299; FPC_L2=0.5511811023622; FPC_L3=0.23622047244094; FPC_L4=0.82677165354331; FPC_L5=0.78740157480315; FPC_OR1=2.1259842519685; FPC_OR2=1.8897637795276; FPC_OR3=1.5625; FPC_dz=0.17; FPC_sbel=1.1163333333333; FPC_z0=11.328496062992; FPC_z1=28.595; FPC_z2=30.457204724409; FPC_zext=11.811023622047; PU_ID=0.3804347826087; PU_L=5; PU_OD=0.875; PU_dz=1; Window_d=0.24803149606299}
#"Z / mm"	"e_Z (Z)"
#------------------
-245.00000000000	1267.9553222656
-244.90000000000	1272.2318115234
-244.80000000000	1276.5648193359
-244.70000000000	1280.9562988281
-244.60000000000	1285.4050292969
-244.50000000000	1289.9118652344
-244.40000000000	1294.4761962891
-244.30000000000	1299.0972900391
-244.20000000000	1303.7768554688
-244.10000000000	1308.5131835938
-244.00000000000	1313.3077392578
-243.90000000000	1318.1600341797
-243.80000000000	1323.0692138672
-243.70000000000	1328.0362548828
-243.60000000000	1333.0606689453
-243.50000000000	1338.1433105469
-243.40000000000	1343.2833251953
-243.30000000000	1348.0397949219
-243.20000000000	1352.1739501953
-243.10000000000	1356.3765869141
-243.00000000000	1360.6489257813
-242.90000000000	1364.9901123047
-242.80000000000	1369.4001464844
-242.70000000000	1373.8796386719
-242.60000000000	1378.4277343750
-242.50000000000	1383.0457763672
-242.40000000000	1387.7326660156
-242.30000000000	1393.1694335938
-242.20000000000	1403.5424804688
-242.10000000000	1413.9770507813
-242.00000000000	1424.4758300781
-241.90000000000	1435.0377197266
-241.80000000000	1445.6611328125
-241.70000000000	1456.3488769531
-241.60000000000	1467.0979003906
-241.50000000000	1477.0743408203
-241.40000000000	1487.0329589844
-241.30000000000	1497.1411132813
-241.20000000000	1507.4016113281
-241.10000000000	1517.8112792969
-241.00000000000	1528.3734130859
-240.90000000000	1539.0861816406
-240.80000000000	1549.9483642578
-240.70000000000	1560.9631347656
-240.60000000000	1572.1268310547
-240.50000000000	1583.4428710938
-240.40000000000	1594.9101562500
-240.30000000000	1606.5263671875
-240.20000000000	1618.2949218750
-240.10000000000	1630.2126464844
-240.00000000000	1642.2830810547
-239.90000000000	1657.2072753906
-239.80000000000	1672.0906982422
-239.70000000000	1686.9378662109
-239.60000000000	1701.7446289063
-239.50000000000	1716.5152587891
-239.40000000000	1731.2470703125
-239.30000000000	1745.9385986328
-239.20000000000	1760.5937500000
-239.10000000000	1775.2086181641
-239.00000000000	1789.7875976563
-238.90000000000	1804.3271484375
-238.80000000000	1818.8266601563
-238.70000000000	1833.2902832031
-238.60000000000	1847.7133789063
-238.50000000000	1862.0998535156
-238.40000000000	1876.4481201172
-238.30000000000	1895.3602294922
-238.20000000000	1914.6104736328
-238.10000000000	1933.9909667969
-238.00000000000	1953.5084228516
-237.90000000000	1973.1584472656
-237.80000000000	1992.9396972656
-237.70000000000	2012.8571777344
-237.60000000000	2032.9047851563
-237.50000000000	2053.0893554688
-237.40000000000	2073.4067382813
-237.30000000000	2093.8549804688
-237.20000000000	2114.4396972656
