#Parameters = {R=7.6; penetration=150}
#"Z / mm"	"e_Z (Z)"
#------------------
-160.00000000000	-1889.2471923828
-159.90000000000	-1918.5823974609
-159.80000000000	-1948.2510986328
-159.70000000000	-1978.2634277344
-159.60000000000	-2008.6097412109
-159.50000000000	-2039.2994384766
-159.40000000000	-2070.3276367188
-159.30000000000	-2101.6899414063
-159.20000000000	-2133.3955078125
-159.10000000000	-2165.4345703125
-159.00000000000	-2197.8176269531
-158.90000000000	-2230.5393066406
-158.80000000000	-2263.5947265625
-158.70000000000	-2296.9936523438
-158.60000000000	-2330.7260742188
-158.50000000000	-2364.8024902344
-158.40000000000	-2399.2172851563
-158.30000000000	-2433.9655761719
-158.20000000000	-2469.0583496094
-158.10000000000	-2504.4836425781
-158.00000000000	-2540.2536621094
-157.90000000000	-2576.3613281250
-157.80000000000	-2612.8034667969
-157.70000000000	-2649.5893554688
-157.60000000000	-2686.7082519531
-157.50000000000	-2724.9201660156
-157.40000000000	-2765.2238769531
-157.30000000000	-2804.5349121094
-157.20000000000	-2844.5793457031
-157.10000000000	-2885.4990234375
-157.00000000000	-2927.3051757813
-156.90000000000	-2969.9921875000
-156.80000000000	-3013.5527343750
-156.70000000000	-3058.0014648438
-156.60000000000	-3103.3234863281
-156.50000000000	-3149.5334472656
-156.40000000000	-3196.6232910156
-156.30000000000	-3244.5869140625
-156.20000000000	-3293.4382324219
-156.10000000000	-3343.1633300781
-156.00000000000	-3393.7753906250
-155.90000000000	-3445.2685546875
-155.80000000000	-3497.6350097656
-155.70000000000	-3550.8898925781
-155.60000000000	-3605.0168457031
-155.50000000000	-3660.0324707031
-155.40000000000	-3715.9301757813
-155.30000000000	-3772.6977539063
-155.20000000000	-3830.3564453125
-155.10000000000	-3888.8864746094
-155.00000000000	-3948.3051757813
-154.90000000000	-4008.6057128906
-154.80000000000	-4069.7778320313
-154.70000000000	-4131.8383789063
-154.60000000000	-4194.7705078125
-154.50000000000	-4258.5932617188
-154.40000000000	-4323.2963867188
-154.30000000000	-4388.8706054688
-154.20000000000	-4455.3349609375
-154.10000000000	-4522.6704101563
-154.00000000000	-4590.8959960938
-153.90000000000	-4660.0029296875
-153.80000000000	-4729.9785156250
-153.70000000000	-4800.8471679688
-153.60000000000	-4872.5844726563
-153.50000000000	-4945.2138671875
-153.40000000000	-5018.7236328125
-153.30000000000	-5093.1025390625
-153.20000000000	-5168.3740234375
-153.10000000000	-5244.5131835938
