#"Z / mm"	"e_Z (Z)"
-100	-1276.1770019531
-99.900000000003	-1297.3908691406
-99.800000000003	-1318.6047363281
-99.700000000003	-1339.8201904297
-99.600000000003	-1361.0340576172
-99.500000000003	-1382.2479248047
-99.400000000003	-1403.4617919922
-99.300000000003	-1424.6756591797
-99.200000000003	-1448.1961669922
-99.100000000003	-1473.0751953125
-99.000000000003	-1497.9543457031
-98.900000000003	-1522.8333740234
-98.800000000003	-1547.7125244141
-98.700000000003	-1572.5935058594
-98.600000000003	-1597.4725341797
-98.500000000003	-1622.3515625
-98.400000000003	-1647.2307128906
-98.300000000003	-1672.1097412109
-98.200000000003	-1699.9157714844
-98.100000000003	-1729.0932617188
-98.000000000003	-1758.2708740234
-97.900000000003	-1787.4483642578
-97.800000000003	-1816.6258544922
-97.700000000003	-1845.8056640625
-97.600000000003	-1874.9831542969
-97.500000000003	-1904.1606445313
-97.400000000003	-1933.3382568359
-97.300000000003	-1962.5157470703
-97.200000000003	-1995.3854980469
-97.100000000003	-2029.6043701172
-97.000000000003	-2063.8229980469
-96.900000000003	-2098.0419921875
-96.800000000003	-2132.2607421875
-96.700000000003	-2166.4819335938
-96.600000000003	-2200.7006835938
-96.500000000003	-2234.9196777344
-96.400000000003	-2269.1384277344
-96.300000000003	-2303.3571777344
-96.200000000003	-2342.2109375
-96.100000000003	-2382.341796875
-96.000000000003	-2422.47265625
-95.900000000003	-2462.603515625
-95.800000000003	-2502.734375
-95.700000000003	-2542.8684082031
-95.600000000003	-2582.9992675781
-95.500000000003	-2623.1301269531
-95.400000000003	-2663.2609863281
-95.300000000003	-2703.3918457031
-95.200000000003	-2749.3161621094
-95.100000000003	-2796.3803710938
-95.000000000003	-2843.4445800781
-94.900000000003	-2890.5090332031
-94.800000000003	-2937.5732421875
-94.700000000003	-2984.6411132813
-94.600000000003	-3031.7055664063
-94.500000000003	-3078.7697753906
-94.400000000003	-3125.833984375
-94.300000000003	-3172.8984375
-94.200000000003	-3227.1755371094
-94.100000000003	-3282.3713378906
-94.000000000003	-3337.5668945313
-93.900000000003	-3392.7624511719
-93.800000000003	-3447.9580078125
-93.700000000003	-3503.1579589844
-93.600000000003	-3558.353515625
-93.500000000003	-3613.5493164063
-93.400000000003	-3668.7448730469
-93.300000000003	-3723.9404296875
-93.200000000003	-3788.0871582031
-93.100000000003	-3852.8188476563
-93.000000000003	-3917.5505371094
-92.900000000003	-3982.2824707031
-92.800000000003	-4047.0141601563
-92.700000000003	-4111.7509765625
-92.600000000003	-4176.482421875
-92.500000000003	-4241.2143554688
-92.400000000003	-4305.9462890625
-92.300000000003	-4370.677734375
-92.200000000003	-4446.4829101563
-92.100000000003	-4522.3984375
-92.000000000003	-4598.3134765625
-91.900000000003	-4674.2290039063
-91.800000000003	-4750.14453125
-91.700000000003	-4826.0654296875
-91.600000000003	-4901.9809570313
-91.500000000003	-4977.8959960938
-91.400000000003	-5053.8115234375
-91.300000000003	-5130.2670898438
-91.200000000003	-5219.3046875
-91.100000000003	-5308.3354492188
-91.000000000003	-5397.3662109375
-90.900000000003	-5486.3969726563
-90.800000000003	-5575.427734375
-90.700000000003	-5664.46484375
-90.600000000003	-5753.4956054688
-90.500000000003	-5842.5263671875
-90.400000000003	-5931.5571289063
-90.300000000003	-6022.0146484375
-90.200000000003	-6126.4340820313
-90.100000000003	-6230.845703125
-90.000000000003	-6335.2573242188
-89.900000000003	-6439.6684570313
-89.800000000003	-6544.080078125
-89.700000000003	-6648.4995117188
-89.600000000003	-6752.9111328125
-89.500000000003	-6857.322265625
-89.400000000003	-6961.7338867188
-89.300000000003	-7068.7475585938
-89.200000000003	-7191.2065429688
-89.100000000003	-7313.6557617188
-89.000000000003	-7436.1049804688
-88.900000000003	-7558.5541992188
-88.800000000003	-7681.0034179688
-88.700000000003	-7803.4619140625
-88.600000000003	-7925.9111328125
-88.500000000003	-8048.3603515625
-88.400000000004	-8170.8095703125
-88.300000000004	-8297.4013671875
-88.200000000004	-8441.0146484375
-88.100000000004	-8584.6171875
-88.000000000004	-8728.2197265625
